A̱o,PIB
1947,244.142
1948,267.133
1949,276.42
1950,282.056
1951,337.537
1952,361.821
1953,389.888
1954,387.345
1955,415.496
1956,442.597
1957,472.864
1958,470.17
1959,512.913
1960,545.575
1961,548.594
1962,597.614
1963,626.179
1964,674.88
1965,723.225
1966,800.732
1967,849.391
1968,915.204
1969,999.671
1970,1057.487
1971,1142.57
1972,1238.784
1973,1388.16
1974,1508.276
1975,1627.512
1976,1836.233
1977,2009.413
1978,2224.853
1979,2552.29
1980,2827.831
1981,3155.609
1982,3310.294
1983,3507.464
1984,3945.094
1985,4255.859
1986,4530.053
1987,4736.524
1988,5098.36
1989,5533.649
1990,5902.22
1991,6074.636
1992,6395.836
1993,6766.665
1994,7143.011
1995,7552.116
1996,7905.735
1997,8385.773
1998,8891.834
1999,9437.614
2000,10035.263
2001,10510.297
2002,10833.143
2003,11217.689
2004,12021.455
2005,12854.364
2006,13654.952
2007,14258.594
2008,14857.342
2009,14551.583
2010,14968.896
2011,15574.331
2012,16315.076
2013,16845.017
2014,17381.812
2015,18214.218
2016,18640.558
2017,19420.467
2018,20467.925
2019,21299.154
2020,21794.019
2021,22511.17
2022,24929.184
